arquivo_origem;ano_origem;tipo_base;Exercício: 2019;;;;;;;;
divida_consolidada_liquida_capitais_2019.csv;2019;DCL Capitais;Período: 3o. quadrimestre;;;;;;;;
divida_consolidada_liquida_capitais_2019.csv;2019;DCL Capitais;Escopo: Capitais;;;;;;;;
divida_consolidada_liquida_capitais_2019.csv;2019;DCL Capitais;Anexo 02 - Demonstrativo da Dívida Consolidada Líquida;;;;;;;;
divida_consolidada_liquida_capitais_2019.csv;2019;DCL Capitais;Tabela: Dívida Consolidada Líquida;;;;;;;;
divida_consolidada_liquida_capitais_2019.csv;2019;DCL Capitais;Instituição;Cod.IBGE;UF;PODER;População;Coluna;Conta;Identificador da Conta;Valor
divida_consolidada_liquida_capitais_2019.csv;2019;DCL Capitais;Prefeitura Municipal de Boa Vista - RR;1400100;RR;Executivo;375374;SALDO DO EXERCÍCIO ANTERIOR;DÍVIDA CONSOLIDADA - DC (I);siconfi-cor_DividaConsolidada;83613064.92
divida_consolidada_liquida_capitais_2019.csv;2019;DCL Capitais;Prefeitura Municipal de Boa Vista - RR;1400100;RR;Executivo;375374;SALDO DO EXERCÍCIO ANTERIOR;Dívida Contratual;siconfi-cor_DividaContratual;83613064.92
divida_consolidada_liquida_capitais_2019.csv;2019;DCL Capitais;Prefeitura Municipal de Boa Vista - RR;1400100;RR;Executivo;375374;SALDO DO EXERCÍCIO ANTERIOR;Empréstimos;siconfi-cor_RGF2Emprestimos;60294968
divida_consolidada_liquida_capitais_2019.csv;2019;DCL Capitais;Prefeitura Municipal de Boa Vista - RR;1400100;RR;Executivo;375374;SALDO DO EXERCÍCIO ANTERIOR;Internos;siconfi-cor_RGF2EmprestimosInternos;60294968
divida_consolidada_liquida_capitais_2019.csv;2019;DCL Capitais;Prefeitura Municipal de Boa Vista - RR;1400100;RR;Executivo;375374;SALDO DO EXERCÍCIO ANTERIOR;Financiamentos;siconfi-cor_RGF2Financiamentos;2405240.59
divida_consolidada_liquida_capitais_2019.csv;2019;DCL Capitais;Prefeitura Municipal de Boa Vista - RR;1400100;RR;Executivo;375374;SALDO DO EXERCÍCIO ANTERIOR;Internos;siconfi-cor_RGF2FinanciamentosInternos;2405240.59
divida_consolidada_liquida_capitais_2019.csv;2019;DCL Capitais;Prefeitura Municipal de Boa Vista - RR;1400100;RR;Executivo;375374;SALDO DO EXERCÍCIO ANTERIOR;Parcelamento e Renegociação de Dívidas;siconfi-cor_RGF2ParcelamentoERenegociacaoDeDividas;20912856.33
divida_consolidada_liquida_capitais_2019.csv;2019;DCL Capitais;Prefeitura Municipal de Boa Vista - RR;1400100;RR;Executivo;375374;SALDO DO EXERCÍCIO ANTERIOR;De Contribuições Previdenciárias;siconfi-cor_RGF2ParcelamentoERenegociacaoDeDividasDeContribuicoesSociaisPrevidenciarias;12697306.28
divida_consolidada_liquida_capitais_2019.csv;2019;DCL Capitais;Prefeitura Municipal de Boa Vista - RR;1400100;RR;Executivo;375374;SALDO DO EXERCÍCIO ANTERIOR;De Demais Contribuições Sociais;siconfi-cor_RGF2ParcelamentoERenegociacaoDeDividasDeContribuicoesSociaisDemaisContribuicoesSociais;6176495.29
divida_consolidada_liquida_capitais_2019.csv;2019;DCL Capitais;Prefeitura Municipal de Boa Vista - RR;1400100;RR;Executivo;375374;SALDO DO EXERCÍCIO ANTERIOR;Com Instituição Não Financeira;siconfi-cor_RGF2ParcelamentoDeDividasComInstituicaoNaoFinanceira;2039054.76
divida_consolidada_liquida_capitais_2019.csv;2019;DCL Capitais;Prefeitura Municipal de Boa Vista - RR;1400100;RR;Executivo;375374;SALDO DO EXERCÍCIO ANTERIOR;DEDUÇÕES (II);siconfi-cor_DeducoesDaDividaConsolidada;830321795.73
divida_consolidada_liquida_capitais_2019.csv;2019;DCL Capitais;Prefeitura Municipal de Boa Vista - RR;1400100;RR;Executivo;375374;SALDO DO EXERCÍCIO ANTERIOR;Disponibilidade de Caixa;siconfi-cor_RGF2DisponibilidadeDeCaixa;830321795.73
divida_consolidada_liquida_capitais_2019.csv;2019;DCL Capitais;Prefeitura Municipal de Boa Vista - RR;1400100;RR;Executivo;375374;SALDO DO EXERCÍCIO ANTERIOR;Disponibilidade de Caixa Bruta;siconfi-cor_DisponibilidadeDeCaixaBrutaAnexo02;879997536.17
divida_consolidada_liquida_capitais_2019.csv;2019;DCL Capitais;Prefeitura Municipal de Boa Vista - RR;1400100;RR;Executivo;375374;SALDO DO EXERCÍCIO ANTERIOR;(-) Restos a Pagar Processados;siconfi-cor_RestosAPagarProcessadosExcetoPrecatorios;49675740.44
divida_consolidada_liquida_capitais_2019.csv;2019;DCL Capitais;Prefeitura Municipal de Boa Vista - RR;1400100;RR;Executivo;375374;SALDO DO EXERCÍCIO ANTERIOR;DÍVIDA CONSOLIDADA LÍQUIDA (DCL) (III) = (I - II);siconfi-cor_DividaConsolidadaLiquida;-746708730.81
divida_consolidada_liquida_capitais_2019.csv;2019;DCL Capitais;Prefeitura Municipal de Boa Vista - RR;1400100;RR;Executivo;375374;SALDO DO EXERCÍCIO ANTERIOR;RECEITA CORRENTE LÍQUIDA - RCL;siconfi-cor_RGF2ReceitaCorrenteLiquida;1056401804.52
divida_consolidada_liquida_capitais_2019.csv;2019;DCL Capitais;Prefeitura Municipal de Boa Vista - RR;1400100;RR;Executivo;375374;SALDO DO EXERCÍCIO ANTERIOR;% da DC sobre a RCL (I/RCL);siconfi-cor_PercentualDaDCSobreARCL;7.91
divida_consolidada_liquida_capitais_2019.csv;2019;DCL Capitais;Prefeitura Municipal de Boa Vista - RR;1400100;RR;Executivo;375374;SALDO DO EXERCÍCIO ANTERIOR;% da DCL sobre a RCL (III/RCL);siconfi-cor_PercentualDaDCLSobreARCL;-70.68
divida_consolidada_liquida_capitais_2019.csv;2019;DCL Capitais;Prefeitura Municipal de Boa Vista - RR;1400100;RR;Executivo;375374;SALDO DO EXERCÍCIO ANTERIOR;LIMITE DEFINIDO POR RESOLUÇÃO DO SENADO FEDERAL;siconfi-cor_LimiteDefinidoPorResolucaoDoSenadoFederal;1267682165.42
divida_consolidada_liquida_capitais_2019.csv;2019;DCL Capitais;Prefeitura Municipal de Boa Vista - RR;1400100;RR;Executivo;375374;SALDO DO EXERCÍCIO ANTERIOR;LIMITE DE ALERTA (inciso III do § 1º do art. 59 da LRF);siconfi-cor_LimiteDeAlerta;1140913948.88
divida_consolidada_liquida_capitais_2019.csv;2019;DCL Capitais;Prefeitura Municipal de Boa Vista - RR;1400100;RR;Executivo;375374;SALDO DO EXERCÍCIO ANTERIOR;Precatórios Posteriores a 05/05/2000 (Não incluídos na DC);siconfi-cor_PrecatoriosAPartirDe05052000;137784.2
divida_consolidada_liquida_capitais_2019.csv;2019;DCL Capitais;Prefeitura Municipal de Boa Vista - RR;1400100;RR;Executivo;375374;SALDO DO EXERCÍCIO ANTERIOR;Passivo Atuarial;siconfi-cor_RGF2DividaConsolidadaPrevidenciariaPassivoAtuarial;384215920.78
divida_consolidada_liquida_capitais_2019.csv;2019;DCL Capitais;Prefeitura Municipal de Boa Vista - RR;1400100;RR;Executivo;375374;SALDO DO EXERCÍCIO ANTERIOR;Depósitos e Consignações Sem Contrapartida;siconfi-cor_Depositos;13110076.51
divida_consolidada_liquida_capitais_2019.csv;2019;DCL Capitais;Prefeitura Municipal de Boa Vista - RR;1400100;RR;Executivo;375374;SALDO DO EXERCÍCIO ANTERIOR;RP Não-Processados;siconfi-cor_RPNaoProcessadosDeExerciciosAnteriores;226152020.05
divida_consolidada_liquida_capitais_2019.csv;2019;DCL Capitais;Prefeitura Municipal de Boa Vista - RR;1400100;RR;Executivo;375374;Até o 1º Quadrimestre;DÍVIDA CONSOLIDADA - DC (I);siconfi-cor_DividaConsolidada;84260039.23
divida_consolidada_liquida_capitais_2019.csv;2019;DCL Capitais;Prefeitura Municipal de Boa Vista - RR;1400100;RR;Executivo;375374;Até o 1º Quadrimestre;Dívida Contratual;siconfi-cor_DividaContratual;84260039.23
divida_consolidada_liquida_capitais_2019.csv;2019;DCL Capitais;Prefeitura Municipal de Boa Vista - RR;1400100;RR;Executivo;375374;Até o 1º Quadrimestre;Empréstimos;siconfi-cor_RGF2Emprestimos;60956225.03
divida_consolidada_liquida_capitais_2019.csv;2019;DCL Capitais;Prefeitura Municipal de Boa Vista - RR;1400100;RR;Executivo;375374;Até o 1º Quadrimestre;Internos;siconfi-cor_RGF2EmprestimosInternos;60956225.03
divida_consolidada_liquida_capitais_2019.csv;2019;DCL Capitais;Prefeitura Municipal de Boa Vista - RR;1400100;RR;Executivo;375374;Até o 1º Quadrimestre;Financiamentos;siconfi-cor_RGF2Financiamentos;7193684.68
divida_consolidada_liquida_capitais_2019.csv;2019;DCL Capitais;Prefeitura Municipal de Boa Vista - RR;1400100;RR;Executivo;375374;Até o 1º Quadrimestre;Internos;siconfi-cor_RGF2FinanciamentosInternos;7193684.68
