arquivo_origem;ano_origem;tipo_base;Exercício: 2019;;;;;;;;
divida_consolidada_liquida_estados_df_2019.csv;2019;DCL Estados DF;Período: 3o. quadrimestre;;;;;;;;
divida_consolidada_liquida_estados_df_2019.csv;2019;DCL Estados DF;Escopo: Estados/DF;;;;;;;;
divida_consolidada_liquida_estados_df_2019.csv;2019;DCL Estados DF;Anexo 02 - Demonstrativo da Dívida Consolidada Líquida;;;;;;;;
divida_consolidada_liquida_estados_df_2019.csv;2019;DCL Estados DF;Tabela: Dívida Consolidada Líquida;;;;;;;;
divida_consolidada_liquida_estados_df_2019.csv;2019;DCL Estados DF;Instituição;Cod.IBGE;UF;PODER;População;Coluna;Conta;Identificador da Conta;Valor
divida_consolidada_liquida_estados_df_2019.csv;2019;DCL Estados DF;Governo do Estado de São Paulo;35;SP;Executivo;45538936;SALDO DO EXERCÍCIO ANTERIOR;DÍVIDA CONSOLIDADA - DC (I);siconfi-cor_DividaConsolidada;311794212065.99
divida_consolidada_liquida_estados_df_2019.csv;2019;DCL Estados DF;Governo do Estado de São Paulo;35;SP;Executivo;45538936;SALDO DO EXERCÍCIO ANTERIOR;Dívida Contratual;siconfi-cor_DividaContratual;288291787329.28
divida_consolidada_liquida_estados_df_2019.csv;2019;DCL Estados DF;Governo do Estado de São Paulo;35;SP;Executivo;45538936;SALDO DO EXERCÍCIO ANTERIOR;Empréstimos;siconfi-cor_RGF2Emprestimos;286936683973.81
divida_consolidada_liquida_estados_df_2019.csv;2019;DCL Estados DF;Governo do Estado de São Paulo;35;SP;Executivo;45538936;SALDO DO EXERCÍCIO ANTERIOR;Internos;siconfi-cor_RGF2EmprestimosInternos;263112508007.42
divida_consolidada_liquida_estados_df_2019.csv;2019;DCL Estados DF;Governo do Estado de São Paulo;35;SP;Executivo;45538936;SALDO DO EXERCÍCIO ANTERIOR;Externos;siconfi-cor_RGF2EmprestimosExternos;23824175966.39
