Indicador;Ente;2019;2020;2021;2022;2023;2024
1. DCL / RCL Ajustada (%) – limite LRF: 200%;MS – Estado;61.07;40.82;21.4;22.15;15.82;24.75
1. DCL / RCL Ajustada (%) – limite LRF: 120%;Campo Grande;3.91;4.78;2.23;6.35;6.28;5.98
2. Serviço da Dívida / RCL Ajustada (%);MS – Estado;4.91;1.79;4.21;3.99;4.19;3.74
2. Serviço da Dívida / RCL Ajustada (%);Campo Grande;2.29;1.6;2.91;2.65;3.17;3.35
3. Despesa com Pessoal / RCL (%);MS – Estado;86.8;75.12;72.05;68.59;69.84;69.36
3. Despesa com Pessoal / RCL (%);Campo Grande;62.92;62.11;70.01;68.17;60.11;68.08
4. Passivo Atuarial (RPPS) / RCL Ajustada (%);MS – Estado;92.12;64.46;64.86;71.69;60.82;49.53
4. Passivo Atuarial (RPPS) / RCL Ajustada (%);Campo Grande;;;;;;
5. RP Não-Processados / RCL Ajustada (%);MS – Estado;3.4;2.45;6.4;4.21;3.83;2.84
5. RP Não-Processados / RCL Ajustada (%);Campo Grande;;;;;;
6. Apropr. Depósitos Judiciais / RCL Ajustada (%);MS – Estado;;0.02;0;;;
6. Apropr. Depósitos Judiciais / RCL Ajustada (%);Campo Grande;;;;;;
