Conta/Indicador (R$ milhões);2019;2020;2021;2022;2023;2024
I - DÍVIDA CONSOLIDADA (DC);9026.509619530001;9352.844933209999;9071.829886860001;9010.34509827;8897.36909607;9602.94813381
  Dívida Mobiliária;;;;;;
  Dívida Contratual;8434.07543845;8861.1918877;8663.652527870001;8667.05435853;8847.33804387;9416.57782134
    Empréstimos;1996.46565502;2309.67011512;2295.11757866;2018.41238572;1789.83030529;2059.54911925
      Internos;707.1418672899999;698.02003271;657.98181862;563.13309884;495.01392479;376.36945853
      Externos;1289.32378773;1611.65008241;1637.13576004;1455.27928688;1294.8163805;1683.17966072
    Reestruturação da Dívida;6295.647633529999;6434.19567151;6275.99481393;6576.858746180001;6996.20439471;7276.91671521
    Financiamentos;;0.03;;;;
      Internos;;;;;;
      Externos;;;;;;
    Parcelamento e Renegociação;141.9621499;117.29610107;92.54013528;71.78322663;61.30334387;80.11198687999999
      Contribuições Previdenciárias;26.92940343;18.6346136;10.06051566;3.05935151;1.18951368;3.52e-06
      Demais Contribuições Sociais;115.03274647;98.66148747;82.47961962000001;68.72387512;60.11383018999999;80.11198336
  Precatórios (pós 05/05/2000);592.43418108;491.65304551;408.17735899;343.29073974;50.0310522;186.37031247
II - DEDUÇÕES;1690.33294666;3609.28433133;5688.48769526;4944.78271641;5775.05033707;4577.939595119999
  Disponibilidade de Caixa Bruta;1781.20596845;3595.66249211;5459.84383699;4882.39625372;4953.056942239999;4049.66315203
  (-) RP Processados;377.98039805;310.05226899;128.26809165;123.32774443;484.450081;637.2462064
  = Disponibilidade de Caixa;1403.2255704;3285.61022312;5331.57574534;4564.19684416;4217.47730903;3155.08077116
  Demais Haveres Financeiros;287.10737626;323.67410821;356.91194992;380.58587225;1557.57302804;1422.85882396
III - DCL (I - II);7336.176672869999;5743.56060188;3383.3421916;4065.56238186;3122.318759;5025.00853869
IV - RCL;12012.24948957;14070.82431781;15816.03819347;18366.59088786;19756.92069977;20382.69067477
V - Transf. Obrig. União (Emendas);;1.18159712;6.924249;13.25307956;16.45786235;77.15261058
VI - RCL Ajustada (IV - V);12012.24948957;14069.64272069;15809.11394447;18353.3378083;19740.46283742;20305.53806419
--- PASSIVOS FORA DA DC ---;;;;;;
  Passivo Atuarial (RPPS);11065.15567475;9069.06648932;10254.54010069;13157.2288165;12006.42376126;10058.34377616
  RP Não-Processados;408.56209407;345.03635077;1011.24723936;773.30867337;756.00087405;577.5485218
  Dep. e Consig. Sem Contrapartida;435.23378434;149.02727795;87.26298918;;;
  Apropriação de Dep. Judiciais;;2.72878697;0.0665;;;
