Conta/Indicador (R$ milhões);2019;2020;2021;2022;2023;2024
I - DÍVIDA CONSOLIDADA (DC);574.26571038;709.45951061;770.08691527;859.7522757200001;858.08974357;940.6036885
  Dívida Contratual;574.26571038;709.45951061;770.08691527;859.7522757200001;858.08974357;940.6036885
    Financiamentos;445.27976006;567.43626014;663.4867548999999;793.21134348;823.78241844;904.10353565
      Internos;;;;;;
      Externos;;;;;;
    Parcelamento e Renegociação;128.98595032;142.02325047;106.60016037;66.54093224;34.30732513;36.50015285
      Contribuições Previdenciárias;59.5443091;18.0326969;13.88745678;9.93235876;4.98327135;22.17782505
      Demais Contribuições Sociais;0.68283366;;;;1.10597006;12.39653119
      Do FGTS;4.5440233;4.05318166;3.54296853;3.04616654;2.51823122;1.92579661
      Com Inst. Não Financeira;64.21478426;119.93737191;89.16973506000001;53.56240694;25.6998525;
II - DEDUÇÕES;438.83463342;527.69429356;680.2639315900001;571.07383651;554.2080899;630.56100171
  Disponibilidade de Caixa Bruta;470.4762844;586.3196776799999;674.2794108200001;567.58530011;592.94692278;636.74451338
  (-) RP Processados;62.67738122999999;39.45682764;27.49168641;2.8173712;38.73883288;39.92165375
  = Disponibilidade de Caixa;407.79890317;546.86285004;646.78772441;564.76792891;554.2080899;596.82285963
  Demais Haveres Financeiros;31.03573025;-19.16855648;33.47620718;6.305907599999999;;33.73814208
III - DCL (I - II);135.43107696;181.76521705;89.82298368000001;288.67843921;303.88165367;310.04268679
IV - RCL;3459.37353623;3811.89449489;4031.81002319;4549.373906430001;4892.36038858;5203.670898939999
V - Transf. Obrig. União (Emendas);;7.63342199;10.76944499;5.453319;55.03108733;20.13064939
VI - RCL Ajustada (IV - V);3459.37353623;3804.2610729;4021.0405782;4543.920587430001;4837.32930125;5183.54024955
