Indicador;2019;2020;2021;2022;2023;2024
D?vida consolidada (R$ mi);574.26571038;709.45951061;770.08691527;859.7522757200001;858.08974357;940.6036885
D?vida consolidada l?quida (R$ mi);135.43107696;181.76521705;89.82298368000001;288.67843921;303.88165367;310.04268679
RCL ajustada (R$ mi);3459.37353623;3804.2610729;4021.0405782;4543.920587430001;4837.32930125;5183.54024955
DCL / RCL ajustada (%);3.91;4.78;2.23;6.35;6.28;5.98
Financiamentos (R$ mi);445.27976006;567.43626014;663.4867548999999;793.21134348;823.78241844;904.10353565
Parcelamento e renegocia??o (R$ mi);128.98595032;142.02325047;106.60016037;66.54093224;34.30732513;36.50015285
Servi?o da d?vida (R$ mi);79.27;60.95;116.83;120.24;153.31;173.43
Servi?o da d?vida / RCL ajustada (%);2.29;1.6;2.91;2.65;3.17;3.35
Despesa com pessoal / RCL (%);62.92;62.11;70.01;68.17;60.11;68.08
Passivo atuarial / RCL ajustada (%);;;;;;
RP n?o processados / RCL ajustada (%);;;;;;
Dep?sitos judiciais / RCL ajustada (%);;;;;;
