Indicador;Ente;2019;2020;2021;2022;2023;2024
DCL / RCL Ajustada (%) — limite LRF: 200%;MS (Estado);61.07;40.82;21.40;22.15;15.82;24.75
DCL / RCL Ajustada (%) — limite LRF: 120%;Campo Grande;3.91;4.78;2.23;6.35;6.28;5.98
Serviço da Dívida / RCL Ajustada (%);MS (Estado);4.91;1.79;4.21;3.99;4.19;3.74
Serviço da Dívida / RCL Ajustada (%);Campo Grande;2.29;1.60;2.91;2.65;3.17;3.35
Despesa com Pessoal / RCL (%);MS (Estado);86.80;75.12;72.05;68.59;69.84;69.36
Despesa com Pessoal / RCL (%);Campo Grande;62.92;62.11;70.01;68.17;60.11;68.08
Passivo Atuarial (RPPS) / RCL Ajustada (%);MS (Estado);92.12;64.46;64.86;71.69;60.82;49.53
Passivo Atuarial (RPPS) / RCL Ajustada (%);Campo Grande;–;–;–;–;–;–
RP Não-Processados / RCL Ajustada (%);MS (Estado);3.40;2.45;6.40;4.21;3.83;2.84
RP Não-Processados / RCL Ajustada (%);Campo Grande;–;–;–;–;–;–
Apropr. Depósitos Judiciais / RCL Ajustada (%);MS (Estado);–;0.02;0.00;–;–;–
Apropr. Depósitos Judiciais / RCL Ajustada (%);Campo Grande;–;–;–;–;–;–
--- INDICADORES DE LIQUIDEZ (Anexo 5) – MS Estado ---;;;;;;;
Disp. de Caixa Bruta / RCL Ajustada (%);MS (Estado);15.17;26.17;34.53;26.61;26.10;20.19
Disp. de Caixa Líquida (antes RP) / RCL Ajustada (%);MS (Estado);2.52;17.66;30.26;23.69;21.17;14.69
Disp. de Caixa Líquida (após RP) / RCL Ajustada (%);MS (Estado);-0.34;15.66;24.26;19.74;16.84;12.02

DCL (R$ milhões);MS (Estado);7336.177;5743.561;3383.342;4065.562;3122.319;5025.009
DCL (R$ milhões);Campo Grande;135.431;181.765;89.823;288.678;303.882;310.043
RCL Ajustada (R$ milhões);MS (Estado);12012.249;14069.643;15809.114;18353.338;19740.463;20305.538
RCL Ajustada (R$ milhões);Campo Grande;3459.374;3804.261;4021.041;4543.921;4837.329;5183.540
Serviço da Dívida (R$ milhões);MS (Estado);589.680;251.690;666.000;732.450;827.300;760.440
  Juros e Encargos da Dívida (R$ milhões);MS (Estado);356.840;106.940;306.560;341.170;409.560;437.180
  Amortização da Dívida (R$ milhões);MS (Estado);232.840;144.750;359.440;391.280;417.740;323.260
Despesa com Pessoal (R$ milhões);MS (Estado);10426.670;10569.630;11395.760;12597.760;13797.300;14136.580
Serviço da Dívida (R$ milhões);Campo Grande;79.270;60.950;116.830;120.240;153.310;173.430
  Juros e Encargos da Dívida (R$ milhões);Campo Grande;29.520;18.680;40.490;52.890;76.280;86.570
  Amortização da Dívida (R$ milhões);Campo Grande;49.750;42.270;76.340;67.350;77.030;86.860
Despesa com Pessoal (R$ milhões);Campo Grande;2176.700;2367.580;2822.490;3101.320;2940.770;3542.500
Disp. de Caixa Bruta – Anexo 5 (R$ mi);MS (Estado);1822.758;3682.414;5458.945;4883.684;5152.674;4100.508
Disp. de Caixa Líquida (após RP) – Anexo 5 (R$ mi);MS (Estado);-41.360;2203.224;3834.784;3622.387;3325.219;2441.565
