Unidade: R$ milhões
Conta/Indicador;2019;2020;2021;2022;2023;2024
I - DÍVIDA CONSOLIDADA (DC);574.266;709.460;770.087;859.752;858.090;940.604
  Dívida Contratual;574.266;709.460;770.087;859.752;858.090;940.604
    Financiamentos;445.280;567.436;663.487;793.211;823.782;904.104
      Internos;–;–;–;–;–;–
      Externos;–;–;–;–;–;–
    Parcelamento e Renegociação;128.986;142.023;106.600;66.541;34.307;36.500
      Contribuições Previdenciárias;59.544;18.033;13.887;9.932;4.983;22.178
      Demais Contribuições Sociais;0.683;–;–;–;1.106;12.397
      Do FGTS;4.544;4.053;3.543;3.046;2.518;1.926
      Com Inst. Não Financeira;64.215;119.937;89.170;53.562;25.700;–
II - DEDUÇÕES;438.835;527.694;680.264;571.074;554.208;630.561
  Disponibilidade de Caixa Bruta;470.476;586.320;674.279;567.585;592.947;636.745
  (-) RP Processados;62.677;39.457;27.492;2.817;38.739;39.922
  = Disponibilidade de Caixa;407.799;546.863;646.788;564.768;554.208;596.823
  Demais Haveres Financeiros;31.036;-19.169;33.476;6.306;–;33.738
III - DCL (I - II);135.431;181.765;89.823;288.678;303.882;310.043
IV - RCL;3459.374;3811.894;4031.810;4549.374;4892.360;5203.671
V - Transf. Obrig. União (Emendas);–;7.633;10.769;5.453;55.031;20.131
VI - RCL Ajustada (IV - V);3459.374;3804.261;4021.041;4543.921;4837.329;5183.540
