Unidade: R$ milhões
Conta/Indicador;2019;2020;2021;2022;2023;2024
I - DÍVIDA CONSOLIDADA (DC);9026.510;9352.845;9071.830;9010.345;8897.369;9602.948
  Dívida Mobiliária;–;–;–;–;–;–
  Dívida Contratual;8434.075;8861.192;8663.653;8667.054;8847.338;9416.578
    Empréstimos;1996.466;2309.670;2295.118;2018.412;1789.830;2059.549
      Internos;707.142;698.020;657.982;563.133;495.014;376.369
      Externos;1289.324;1611.650;1637.136;1455.279;1294.816;1683.180
    Reestruturação da Dívida;6295.648;6434.196;6275.995;6576.859;6996.204;7276.917
    Financiamentos;–;0.030;–;–;–;–
      Internos;–;–;–;–;–;–
      Externos;–;–;–;–;–;–
    Parcelamento e Renegociação;141.962;117.296;92.540;71.783;61.303;80.112
      Contribuições Previdenciárias;26.929;18.635;10.061;3.059;1.190;0.000
      Demais Contribuições Sociais;115.033;98.661;82.480;68.724;60.114;80.112
  Precatórios (pós 05/05/2000);592.434;491.653;408.177;343.291;50.031;186.370
II - DEDUÇÕES;1690.333;3609.284;5688.488;4944.783;5775.050;4577.940
  Disponibilidade de Caixa Bruta;1781.206;3595.662;5459.844;4882.396;4953.057;4049.663
  (-) RP Processados;377.980;310.052;128.268;123.328;484.450;637.246
  = Disponibilidade de Caixa;1403.226;3285.610;5331.576;4564.197;4217.477;3155.081
  Demais Haveres Financeiros;287.107;323.674;356.912;380.586;1557.573;1422.859
III - DCL (I - II);7336.177;5743.561;3383.342;4065.562;3122.319;5025.009
IV - RCL;12012.249;14070.824;15816.038;18366.591;19756.921;20382.691
V - Transf. Obrig. União (Emendas);–;1.182;6.924;13.253;16.458;77.153
VI - RCL Ajustada (IV - V);12012.249;14069.643;15809.114;18353.338;19740.463;20305.538
--- PASSIVOS FORA DA DC ---;;;;;;
  Passivo Atuarial (RPPS);11065.156;9069.066;10254.540;13157.229;12006.424;10058.344
  RP Não-Processados;408.562;345.036;1011.247;773.309;756.001;577.549
  Dep. e Consig. Sem Contrapartida;435.234;149.027;87.263;–;–;–
  Apropriação de Dep. Judiciais;–;2.729;0.067;–;–;–
