cod_ibge;municipio;uf;distancia_capital_km;minutos_capital;modal_distancia;metodo_distancia;fonte_distancia
5000203;Água Clara;MS;190,8;131;Rodoviário;Distancia de deslocamento ate a capital pela base REGIC;REGIC 2018 - Rotas Brasil
5000252;Alcinópolis;MS;310,71;270;Rodoviário;Distancia de deslocamento ate a capital pela base REGIC;REGIC 2018 - Rotas Brasil
5000609;Amambai;MS;354,22;265;Rodoviário;Distancia de deslocamento ate a capital pela base REGIC;REGIC 2018 - Rotas Brasil
5000708;Anastácio;MS;139,69;99;Rodoviário;Distancia de deslocamento ate a capital pela base REGIC;REGIC 2018 - Rotas Brasil
5000807;Anaurilândia;MS;368,54;262;Rodoviário;Distancia de deslocamento ate a capital pela base REGIC;REGIC 2018 - Rotas Brasil
5000856;Angélica;MS;272,51;204;Rodoviário;Distancia de deslocamento ate a capital pela base REGIC;REGIC 2018 - Rotas Brasil
5000906;Antônio João;MS;318,63;224;Rodoviário;Distancia de deslocamento ate a capital pela base REGIC;REGIC 2018 - Rotas Brasil
5001003;Aparecida do Taboado;MS;452,53;309;Rodoviário;Distancia de deslocamento ate a capital pela base REGIC;REGIC 2018 - Rotas Brasil
5001102;Aquidauana;MS;142,47;102;Rodoviário;Distancia de deslocamento ate a capital pela base REGIC;REGIC 2018 - Rotas Brasil
5001243;Aral Moreira;MS;371,36;275;Rodoviário;Distancia de deslocamento ate a capital pela base REGIC;REGIC 2018 - Rotas Brasil
5001508;Bandeirantes;MS;69,13;53;Rodoviário;Distancia de deslocamento ate a capital pela base REGIC;REGIC 2018 - Rotas Brasil
5001904;Bataguassu;MS;336,79;231;Rodoviário;Distancia de deslocamento ate a capital pela base REGIC;REGIC 2018 - Rotas Brasil
5002001;Batayporã;MS;308,63;222;Rodoviário;Distancia de deslocamento ate a capital pela base REGIC;REGIC 2018 - Rotas Brasil
5002100;Bela Vista;MS;324,65;224;Rodoviário;Distancia de deslocamento ate a capital pela base REGIC;REGIC 2018 - Rotas Brasil
5002159;Bodoquena;MS;266,52;189;Rodoviário;Distancia de deslocamento ate a capital pela base REGIC;REGIC 2018 - Rotas Brasil
5002209;Bonito;MS;297,29;204;Rodoviário;Distancia de deslocamento ate a capital pela base REGIC;REGIC 2018 - Rotas Brasil
5002308;Brasilândia;MS;381,44;264;Rodoviário;Distancia de deslocamento ate a capital pela base REGIC;REGIC 2018 - Rotas Brasil
5002407;Caarapó;MS;273,99;210;Rodoviário;Distancia de deslocamento ate a capital pela base REGIC;REGIC 2018 - Rotas Brasil
5002605;Camapuã;MS;140,13;101;Rodoviário;Distancia de deslocamento ate a capital pela base REGIC;REGIC 2018 - Rotas Brasil
5002704;Campo Grande;MS;0,0;0;Capital;Distancia de deslocamento ate a capital pela base REGIC;REGIC 2018 - Rotas Brasil
5002803;Caracol;MS;384,83;264;Rodoviário;Distancia de deslocamento ate a capital pela base REGIC;REGIC 2018 - Rotas Brasil
5002902;Cassilândia;MS;417,75;285;Rodoviário;Distancia de deslocamento ate a capital pela base REGIC;REGIC 2018 - Rotas Brasil
5002951;Chapadão do Sul;MS;330,08;232;Rodoviário;Distancia de deslocamento ate a capital pela base REGIC;REGIC 2018 - Rotas Brasil
5003108;Corguinho;MS;100,1;85;Rodoviário;Distancia de deslocamento ate a capital pela base REGIC;REGIC 2018 - Rotas Brasil
5003157;Coronel Sapucaia;MS;397,23;293;Rodoviário;Distancia de deslocamento ate a capital pela base REGIC;REGIC 2018 - Rotas Brasil
5003207;Corumbá;MS;427,29;292;Rodoviário;Distancia de deslocamento ate a capital pela base REGIC;REGIC 2018 - Rotas Brasil
5003256;Costa Rica;MS;338,89;256;Rodoviário;Distancia de deslocamento ate a capital pela base REGIC;REGIC 2018 - Rotas Brasil
5003306;Coxim;MS;252,78;190;Rodoviário;Distancia de deslocamento ate a capital pela base REGIC;REGIC 2018 - Rotas Brasil
5003454;Deodápolis;MS;248,54;201;Rodoviário;Distancia de deslocamento ate a capital pela base REGIC;REGIC 2018 - Rotas Brasil
5003488;Dois Irmãos do Buriti;MS;89,83;84;Rodoviário;Distancia de deslocamento ate a capital pela base REGIC;REGIC 2018 - Rotas Brasil
5003504;Douradina;MS;198,0;156;Rodoviário;Distancia de deslocamento ate a capital pela base REGIC;REGIC 2018 - Rotas Brasil
5003702;Dourados;MS;224,52;172;Rodoviário;Distancia de deslocamento ate a capital pela base REGIC;REGIC 2018 - Rotas Brasil
5003751;Eldorado;MS;441,3;326;Rodoviário;Distancia de deslocamento ate a capital pela base REGIC;REGIC 2018 - Rotas Brasil
5003801;Fátima do Sul;MS;239,12;182;Rodoviário;Distancia de deslocamento ate a capital pela base REGIC;REGIC 2018 - Rotas Brasil
5003900;Figueirão;MS;258,06;217;Rodoviário;Distancia de deslocamento ate a capital pela base REGIC;REGIC 2018 - Rotas Brasil
5004007;Glória de Dourados;MS;276,09;208;Rodoviário;Distancia de deslocamento ate a capital pela base REGIC;REGIC 2018 - Rotas Brasil
5004106;Guia Lopes da Laguna;MS;231,37;159;Rodoviário;Distancia de deslocamento ate a capital pela base REGIC;REGIC 2018 - Rotas Brasil
5004304;Iguatemi;MS;409,7;334;Rodoviário;Distancia de deslocamento ate a capital pela base REGIC;REGIC 2018 - Rotas Brasil
5004403;Inocência;MS;329,83;225;Rodoviário;Distancia de deslocamento ate a capital pela base REGIC;REGIC 2018 - Rotas Brasil
5004502;Itaporã;MS;234,51;165;Rodoviário;Distancia de deslocamento ate a capital pela base REGIC;REGIC 2018 - Rotas Brasil
5004601;Itaquiraí;MS;406,51;302;Rodoviário;Distancia de deslocamento ate a capital pela base REGIC;REGIC 2018 - Rotas Brasil
5004700;Ivinhema;MS;289,24;216;Rodoviário;Distancia de deslocamento ate a capital pela base REGIC;REGIC 2018 - Rotas Brasil
5004809;Japorã;MS;467,39;349;Rodoviário;Distancia de deslocamento ate a capital pela base REGIC;REGIC 2018 - Rotas Brasil
5004908;Jaraguari;MS;47,34;36;Rodoviário;Distancia de deslocamento ate a capital pela base REGIC;REGIC 2018 - Rotas Brasil
5005004;Jardim;MS;236,0;163;Rodoviário;Distancia de deslocamento ate a capital pela base REGIC;REGIC 2018 - Rotas Brasil
5005103;Jateí;MS;265,72;201;Rodoviário;Distancia de deslocamento ate a capital pela base REGIC;REGIC 2018 - Rotas Brasil
5005152;Juti;MS;311,48;236;Rodoviário;Distancia de deslocamento ate a capital pela base REGIC;REGIC 2018 - Rotas Brasil
5005202;Ladário;MS;426,22;296;Rodoviário;Distancia de deslocamento ate a capital pela base REGIC;REGIC 2018 - Rotas Brasil
5005251;Laguna Carapã;MS;280,39;229;Rodoviário;Distancia de deslocamento ate a capital pela base REGIC;REGIC 2018 - Rotas Brasil
5005400;Maracaju;MS;160,16;112;Rodoviário;Distancia de deslocamento ate a capital pela base REGIC;REGIC 2018 - Rotas Brasil
5005608;Miranda;MS;209,22;147;Rodoviário;Distancia de deslocamento ate a capital pela base REGIC;REGIC 2018 - Rotas Brasil
5005681;Mundo Novo;MS;463,53;343;Rodoviário;Distancia de deslocamento ate a capital pela base REGIC;REGIC 2018 - Rotas Brasil
5005707;Naviraí;MS;364,75;267;Rodoviário;Distancia de deslocamento ate a capital pela base REGIC;REGIC 2018 - Rotas Brasil
5005806;Nioaque;MS;185,36;128;Rodoviário;Distancia de deslocamento ate a capital pela base REGIC;REGIC 2018 - Rotas Brasil
5006002;Nova Alvorada do Sul;MS;116,96;94;Rodoviário;Distancia de deslocamento ate a capital pela base REGIC;REGIC 2018 - Rotas Brasil
5006200;Nova Andradina;MS;297,93;214;Rodoviário;Distancia de deslocamento ate a capital pela base REGIC;REGIC 2018 - Rotas Brasil
5006259;Novo Horizonte do Sul;MS;322,4;253;Rodoviário;Distancia de deslocamento ate a capital pela base REGIC;REGIC 2018 - Rotas Brasil
5006275;Paraíso das Águas;MS;277,43;194;Rodoviário;Distancia de deslocamento ate a capital pela base REGIC;REGIC 2018 - Rotas Brasil
5006309;Paranaíba;MS;406,07;277;Rodoviário;Distancia de deslocamento ate a capital pela base REGIC;REGIC 2018 - Rotas Brasil
5006358;Paranhos;MS;463,01;358;Rodoviário;Distancia de deslocamento ate a capital pela base REGIC;REGIC 2018 - Rotas Brasil
5006408;Pedro Gomes;MS;304,47;230;Rodoviário;Distancia de deslocamento ate a capital pela base REGIC;REGIC 2018 - Rotas Brasil
5006606;Ponta Porã;MS;314,71;225;Rodoviário;Distancia de deslocamento ate a capital pela base REGIC;REGIC 2018 - Rotas Brasil
5006903;Porto Murtinho;MS;440,52;300;Rodoviário;Distancia de deslocamento ate a capital pela base REGIC;REGIC 2018 - Rotas Brasil
5007109;Ribas do Rio Pardo;MS;97,31;69;Rodoviário;Distancia de deslocamento ate a capital pela base REGIC;REGIC 2018 - Rotas Brasil
5007208;Rio Brilhante;MS;161,57;130;Rodoviário;Distancia de deslocamento ate a capital pela base REGIC;REGIC 2018 - Rotas Brasil
5007307;Rio Negro;MS;153,94;126;Rodoviário;Distancia de deslocamento ate a capital pela base REGIC;REGIC 2018 - Rotas Brasil
5007406;Rio Verde de Mato Grosso;MS;201,56;151;Rodoviário;Distancia de deslocamento ate a capital pela base REGIC;REGIC 2018 - Rotas Brasil
5007505;Rochedo;MS;85,28;74;Rodoviário;Distancia de deslocamento ate a capital pela base REGIC;REGIC 2018 - Rotas Brasil
5007554;Santa Rita do Pardo;MS;240,1;184;Rodoviário;Distancia de deslocamento ate a capital pela base REGIC;REGIC 2018 - Rotas Brasil
5007695;São Gabriel do Oeste;MS;136,75;104;Rodoviário;Distancia de deslocamento ate a capital pela base REGIC;REGIC 2018 - Rotas Brasil
5007703;Sete Quedas;MS;469,41;348;Rodoviário;Distancia de deslocamento ate a capital pela base REGIC;REGIC 2018 - Rotas Brasil
5007802;Selvíria;MS;398,44;274;Rodoviário;Distancia de deslocamento ate a capital pela base REGIC;REGIC 2018 - Rotas Brasil
5007901;Sidrolândia;MS;71,08;52;Rodoviário;Distancia de deslocamento ate a capital pela base REGIC;REGIC 2018 - Rotas Brasil
5007935;Sonora;MS;359,54;265;Rodoviário;Distancia de deslocamento ate a capital pela base REGIC;REGIC 2018 - Rotas Brasil
