grupo;valor_grupo;variavel;media;erro_padrao;moda;mediana;q1;q3;variancia;desvio_padrao;minimo;maximo;soma;contagem;ausentes
total;base_empilhada;crescimento_pib;0,15447259716953785;0,009817952524735793;-0,5816925163309092;0,1417754612120474;0,0308350299144941;0,26668790003389575;0,03807491575229654;0,1951279471328916;-0,5816925163309092;1,09474100021309;61,016675881967444;395;0
total;base_empilhada;log_pib_per_capita;10,78604768348357;0,02991783658957579;9,377789179030191;10,728417712249826;10,384541663238045;11,140803861597874;0,35355539374922124;0,59460524194563;9,377789179030191;12,92527640062148;4260,48883497601;395;0
total;base_empilhada;investimento_pib;0,013873045758579965;0,0005751519457343567;0,000901095681246;0,0108705398817022;0,0060198926734838995;0,01719919711041705;0,00013066590546939645;0,011430918837494931;0,000901095681246;0,0725691224874462;5,479853074639086;395;0
total;base_empilhada;gasto_pessoal_pib;0,06587794793901602;0,0014630590595742267;0,0143738027995528;0,0614871247853928;0,04299170373392175;0,0836316279810738;0,0008455140156618772;0,029077723701518954;0,0143738027995528;0,1664288189035465;26,02178943591133;395;0
total;base_empilhada;receita_corrente_pib;0,14218922527864813;0,003309856605837327;0,0325638115100612;0,1289418283768365;0,09241315806500255;0,1735374791855402;0,004327284546725971;0,06578209898388748;0,0325638115100612;0,3604128371549424;56,16474398506601;395;0
total;base_empilhada;crescimento_populacao;0,007678237931589093;0,003888611958493177;0,0;0,008072455207718;-0,0024219276121811;0,017794844448353747;0,005972914670675777;0,07728463411749956;-0,2798888778648675;0,3886745659961421;3,032903982977692;395;0
total;base_empilhada;area_por_habitante;0,2620748766594336;0,013652207275115057;0,2932642140468227;0,1612124971674597;0,08631184419982085;0,38005580051602716;0,07362119157566828;0,27133225310616554;0,0088242021569845;1,5994532940019666;103,51957628047627;395;0
total;base_empilhada;distancia_capital_km;277,68886075949365;5,899934224869519;0,0;289,24;198,0;368,54;13749,64342382574;117,2588735398125;0,0;469,41;109687,09999999999;395;0
total;base_empilhada;dummy_pequeno_municipio;0,25316455696202533;0,021906137103389647;0,0;0,0;0,0;1,0;0,1895521429030393;0,4353758639417662;0,0;1,0;100,0;395;0
total;base_empilhada;interacao_pequeno_pessoal;0,017660575633460327;0,001724581968287627;0,0;0,0;0,0;0,0145325236637185;0,0011748022713104162;0,03427538871129569;0,0;0,136153138977785;6,975927375216829;395;0
total;base_empilhada;populacao;35503,21265822785;5220,115430507328;3588,0;15449,0;7887,5;25640,5;10763594017,589178;103747,74222887542;3051,0;916001,0;14023769,0;395;0
total;base_empilhada;pib;1829327052,3848102;225107751,93767363;105022452,0;732608331,0;371499184,5;1537980626,5;2,001603249306112e+19;4473928083,134676;105022452,0;42269767537,0;722584185692,0;395;0
total;base_empilhada;pib_per_capita;59047,85962558077;2455,509821394704;11822,847639956091;45634,42807376681;32355,649905744955;68927,13191332028;2381663750,7715106;48802,29247454991;11822,847639956091;410559,6059496568;23323904,552104406;395;0
total;base_empilhada;receita_corrente;198250673,58078483;26533597,314038027;60875577,54;86776543,94;56898237,61;154401449,22;2,7809255563729277e+17;527344816,6402063;26240966,94;5275676198,71;78309016064,41;395;0
total;base_empilhada;despesa_pessoal;101937456,08387344;15582328,176817583;11565350,69;41286266,07;25265358,78;76188502,855;9,590953580696704e+16;309692647,32467747;11565350,69;3101321090,54;40265295153,130005;395;0
total;base_empilhada;investimento;16870012,848658226;1865272,998283701;443357,64;7463491,52;3978506,105;15084726,07;1374301126459875,8;37071567,62884294;443357,64;426687396,1;6663655075,219999;395;0
total;base_empilhada;area_km2;4520,785835443038;382,23434464255894;280,457;2957,41;1569,176;5061,433;57710722,218608975;7596,757348935727;280,457;64432,45;1785710,405;395;0
ano;2019;crescimento_pib;0,00163679562403457;0,01337325753342913;-0,5816925163309092;0,0176349583362092;-0,0570313599955454;0,05200646933808445;0,0141286773473781;0,11886411294994843;-0,5816925163309092;0,3974243858666448;0,12930685429873104;79;0
ano;2019;log_pib_per_capita;10,442223769674852;0,06126808292001779;9,377789179030191;10,390978132340924;10,103385413597795;10,70000047079773;0,2965484607908398;0,5445626325693307;9,377789179030191;12,775653538030188;824,9356778043133;79;0
ano;2019;investimento_pib;0,01120852138108618;0,0012103408537346607;0,0017863781686596;0,0075561253840895;0,00405839977134755;0,01373481203500495;0,00011572907359531263;0,010757744819213395;0,0017863781686596;0,0522667568550177;0,8854731891058083;79;0
ano;2019;gasto_pessoal_pib;0,07260607014888312;0,0034537411670800214;0,0143738027995528;0,0680666706624909;0,0495045741541076;0,08727366140831344;0,0009423379158854783;0,030697522960093673;0,0143738027995528;0,1664288189035465;5,735879541761767;79;0
ano;2019;receita_corrente_pib;0,14850420958917093;0,007359524394366046;0,0348685128555803;0,1337428350686143;0,09908772473817595;0,1703243705338846;0,004278845345590245;0,06541288363610218;0,0348685128555803;0,3509377747173277;11,731832557544504;79;0
ano;2019;crescimento_populacao;0,008751335621527311;0,0011444230384511746;-0,0336964783379781;0,0078431372549019;0,00239487448254945;0,0151831389207953;0,00010346662318408767;0,010171854461409073;-0,0336964783379781;0,0398978481118645;0,6913555141006575;79;0
ano;2019;area_por_habitante;0,26178925304182243;0,030609082340231915;0,0090213620362909;0,1612302939359166;0,08707075307620471;0,37830121260760924;0,07401635781517668;0,2720594747756025;0,0090213620362909;1,5994532940019666;20,681350990303972;79;0
ano;2019;distancia_capital_km;277,68886075949365;13,26013603594989;0,0;289,24;199,78;366,645;13890,66540765985;117,85866708757507;0,0;469,41;21937,42;79;0
ano;2019;dummy_pequeno_municipio;0,25316455696202533;0,049234168880847154;0,0;0,0;0,0;0,5;0,19149626744563447;0,43760286498791856;0,0;1,0;20,0;79;0
ano;2019;interacao_pequeno_pessoal;0,019820278302146468;0,004298692558983932;0,0;0,0;0,0;0,0071869013997764;0,001459821859616442;0,03820761520451704;0,0;0,136153138977785;1,5658019858695709;79;0
ano;2019;populacao;35177,037974683546;11584,303618490103;3051,0;15522,0;7863,0;25176,5;10601491135,703667;102963,5427503525;3051,0;895982,0;2778986,0;79;0
ano;2019;pib;1353711979,949367;412047660,7857006;105022452,0;500752223,0;258375056,5;1125521770,5;1,3412878705958455e+19;3662359718,2634115;105022452,0;30221879933,0;106943246416,0;79;0
ano;2019;pib_per_capita;41463,971427215365;4600,928227857991;11822,847639956091;32564,50375748312;24425,563044510658;44360,6286992908;1672314704,0741374;40893,9445893171;11822,847639956091;353505,2225455659;3275653,7427500137;79;0
ano;2019;receita_corrente;149347483,84177214;46741026,971415564;26240966,94;68103403,26;44813993,915;110411441,13499999;1,7259316458506515e+17;415443334,9869332;26240966,94;3600964130,95;11798451223,5;79;0
ano;2019;despesa_pessoal;80172995,13417724;28127546,81489537;11565350,69;32753955,02;20889857,97;52683774,855000004;6,250155229610631e+16;250003104,57293588;11565350,69;2176701454,49;6333666615,600002;79;0
ano;2019;investimento;10097288,887341773;2966217,8409460024;909939,76;3545176,78;2143840,26;7236952,67;695077414115762,8;26364320,854438156;909939,76;217632141,62;797685822,1000001;79;0
ano;2019;area_km2;4520,785835443038;859,0738836049616;280,457;2957,41;1611,518;4980,4365;58302627,061876774;7635,615696319242;280,457;64432,45;357142,081;79;0
ano;2020;crescimento_pib;0,235944439036314;0,01865317118241425;-0,3727868192666129;0,2222288266397365;0,14711135099917827;0,3233159823602047;0,02748732281767551;0,16579301196876636;-0,3727868192666129;0,8901412205977732;18,639610683868806;79;0
ano;2020;log_pib_per_capita;10,637176041976993;0,06281625184304793;9,532907348728154;10,582786530951402;10,29126187915968;11,023315509363666;0,3117246381531285;0,5583230589480687;9,532907348728154;12,914130260584187;840,3369073161824;79;0
ano;2020;investimento_pib;0,01488640110512816;0,001398636490201508;0,000901095681246;0,0119214916845355;0,0065535874884714;0,017253760054176302;0,00015453853850613223;0,012431353044062912;0,000901095681246;0,0725691224874462;1,1760256873051247;79;0
ano;2020;gasto_pessoal_pib;0,06725553732098741;0,0032528367046783537;0,0146912445278842;0,0664895693223762;0,04426803519469735;0,0875976010258103;0,0008358947835569155;0,028911845038961378;0,0146912445278842;0,1516457897823285;5,313187448358005;79;0
ano;2020;receita_corrente_pib;0,14128172157169638;0,007388210279997049;0,0325638115100612;0,1303598213786377;0,0888985757623246;0,1689155022018233;0,004312266440174873;0,06566784936462342;0,0325638115100612;0,3604128371549424;11,161256004164015;79;0
ano;2020;crescimento_populacao;0,007696804161378548;0,0016957405702719534;-0,0763775231860338;0,0097378958864216;0,00230660383728315;0,01442946959465555;0,00022716735045163374;0,01507207186990673;-0,0763775231860338;0,0704183853859752;0,6080475287489053;79;0
ano;2020;area_por_habitante;0,2599405726542513;0,030387328970914076;0,0089207034164301;0,1609461626575028;0,08631184419982085;0,37894795159764083;0,07294779119693776;0,27008848771641075;0,0089207034164301;1,5952703497875125;20,535305239685854;79;0
ano;2020;distancia_capital_km;277,68886075949365;13,26013603594989;0,0;289,24;199,78;366,645;13890,66540765985;117,85866708757507;0,0;469,41;21937,42;79;0
ano;2020;dummy_pequeno_municipio;0,25316455696202533;0,049234168880847154;0,0;0,0;0,0;0,5;0,19149626744563447;0,43760286498791856;0,0;1,0;20,0;79;0
ano;2020;interacao_pequeno_pessoal;0,01795876178246151;0,0039002120464161683;0,0;0,0;0,0;0,0073456222639421;0,0012017206665537736;0,034665842937303196;0,0;0,1277389421953665;1,4187421808144591;79;0
ano;2020;populacao;35561,94936708861;11716,569253429043;3059,0;15776,0;7869,0;25551,0;10844961610,561504;104139,14542841949;3059,0;906092,0;2809394,0;79;0
ano;2020;pib;1552249697,1898735;421674908,53888506;110440299,0;596151182,0;307725945,0;1255784429,0;1,404696855081089e+19;3747928567,99738;110440299,0;30139204019,0;122627726078,0;79;0
ano;2020;pib_per_capita;50453,774455151266;5355,727453562237;13806,673603782348;39449,88972467684;29474,266920213537;61287,11556462794;2266021507,990379;47602,74685341571;13806,673603782348;406008,8598287985;3985848,18195695;79;0
ano;2020;receita_corrente;170438275,02354434;53545739,78597535;30982884,92;78388842,71;50122756,135000005;123661200,06;2,265045536889633e+17;475924945,4367393;30982884,92;4140063800,41;13464623726,860003;79;0
ano;2020;despesa_pessoal;88879372,97050636;30548543,4802808;13564428,65;39021560,93;23337129,215;61840967,725;7,372386719256194e+16;271521393,61855435;13564428,65;2367578029,92;7021470464,670002;79;0
ano;2020;investimento;13858384,125063293;2688406,9081258243;1433644,74;6880978,51;3922860,67;13485282,31;570975004589033,6;23895083,272276614;1433644,74;184835368,56;1094812345,88;79;0
ano;2020;area_km2;4520,785835443038;859,0738836049616;280,457;2957,41;1611,518;4980,4365;58302627,061876774;7635,615696319242;280,457;64432,45;357142,081;79;0
ano;2021;crescimento_pib;0,1951848835052005;0,01698992405159773;-0,3518972262910768;0,1740929641753388;0,11777632166077655;0,29010988461328385;0,022803944023045666;0,1510097481060268;-0,3518972262910768;0,6237798604021907;15,41960579691084;79;0
ano;2021;log_pib_per_capita;10,79979973251924;0,061725401943762394;9,644313358480549;10,787987861649883;10,472085325573149;11,110360310062184;0,3009919943644031;0,5486273729631097;9,644313358480549;12,47843907868164;853,18417886902;79;0
ano;2021;investimento_pib;0,011433764184254396;0,0010306844507225283;0,0011129213195156;0,0089115636950445;0,00512686237839505;0,0147791377116543;8,392252451993481e-05;0,00916092378092596;0,0011129213195156;0,0459809104021004;0,9032673705560972;79;0
ano;2021;gasto_pessoal_pib;0,05972194083497198;0,002999919856551014;0,0172779259787126;0,0524795643809606;0,0389579323517235;0,08343993272883575;0,0007109620125125953;0,026663870921390904;0,0172779259787126;0,1329089756402529;4,718033325962787;79;0
ano;2021;receita_corrente_pib;0,13633729901404829;0,007125177148423908;0,0549257954443686;0,1259658342526233;0,0885875679360058;0,17561595518582274;0,004010683802317357;0,06332995975300598;0,0549257954443686;0,3055929512242751;10,770646622109814;79;0
ano;2021;crescimento_populacao;0,00754954810203906;0,0010148579848668956;-0,0347448425624321;0,008072455207718;0,0024459221321783;0,013704225012757101;8,136500162639957e-05;0,00902025507546209;-0,0347448425624321;0,0261119081779053;0,5964143000610858;79;0
