 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2025 - Brasil
População residente por Município e Ano
Unidade da Federação: Mato Grosso do Sul
Período:2018-2023
"Município";"2018";"2019";"2020";"2021";"2022";"2023"
"500020 AGUA CLARA";15733;16059;16395;16710;17006;17312
"500025 ALCINOPOLIS";4655;4662;4661;4660;4651;4634
"500060 AMAMBAI";39555;39926;40272;40550;40811;41101
"500070 ANASTACIO";24743;24802;24845;24840;24805;24779
"500080 ANAURILANDIA";8164;8101;8035;7966;7877;7799
"500085 ANGELICA";10484;10627;10781;10896;10997;11095
"500090 ANTONIO JOAO";9197;9282;9364;9430;9496;9561
"500100 APARECIDA DO TABOADO";26349;26899;27458;27965;28452;28939
"500110 AQUIDAUANA";48240;48409;48544;48584;48568;48583
"500124 ARAL MOREIRA";10955;10983;11013;11024;11024;11040
"500150 BANDEIRANTES";7738;7847;7953;8033;8105;8180
"500190 BATAGUASSU";22547;22832;23116;23359;23571;23790
"500200 BATAYPORA";11105;11103;11097;11058;11014;10972
"500210 BELA VISTA";22986;22844;22704;22535;22327;22134
"500215 BODOQUENA";8625;8697;8744;8777;8805;8819
"500220 BONITO";22795;23183;23577;23924;24224;24493
"500230 BRASILANDIA";12029;12009;11982;11945;11892;11861
"500240 CAARAPO";30146;30571;30965;31331;31664;32042
"500260 CAMAPUA";13982;14005;14032;14018;13983;13955
"500270 CAMPO GRANDE";897754;909168;920013;929224;937754;946553
"500280 CARACOL";5315;5286;5269;5228;5189;5144
"500290 CASSILANDIA";21557;21602;21650;21644;21606;21586
"500295 CHAPADAO DO SUL";26753;27924;29132;30324;31489;32627
"500310 CORGUINHO";4965;4973;4974;4957;4929;4898
"500315 CORONEL SAPUCAIA";14562;14598;14624;14631;14624;14639
"500320 CORUMBA";103084;102595;102086;101385;100605;99866
"500325 COSTA RICA";23112;23957;24811;25648;26463;27302
"500330 COXIM";33316;33401;33484;33489;33459;33438
"500345 DEODAPOLIS";13486;13638;13780;13904;13991;14103
"500348 DOIS IRMAOS DO BURITI";11122;11197;11280;11348;11391;11427
"500350 DOURADINA";5664;5695;5713;5733;5729;5730
"500370 DOURADOS";235015;239657;244236;248422;252387;256470
"500375 ELDORADO";11817;11798;11785;11750;11692;11653
"500380 FATIMA DO SUL";20572;20765;20944;21083;21184;21288
"500390 FIGUEIRAO";3420;3481;3547;3585;3626;3639
"500400 GLORIA DE DOURADOS";10551;10613;10681;10726;10734;10753
"500410 GUIA LOPES DA LAGUNA";10427;10397;10362;10317;10248;10185
"500430 IGUATEMI";14554;14493;14419;14325;14207;14114
"500440 INOCENCIA";8341;8409;8478;8537;8588;8646
"500450 ITAPORA";23942;24175;24398;24568;24715;24891
"500460 ITAQUIRAI";19640;19734;19823;19876;19917;19959
"500470 IVINHEMA";26528;27101;27672;28192;28665;29144
"500480 JAPORA";8413;8413;8419;8403;8377;8377
"500490 JARAGUARI";7072;7166;7253;7314;7357;7384
"500500 JARDIM";24914;24900;24873;24799;24696;24601
"500510 JATEI";3807;3768;3743;3696;3664;3612
"500515 JUTI";6592;6681;6766;6835;6893;6943
"500520 LADARIO";21364;21558;21745;21904;22030;22163
"500525 LAGUNA CARAPA";6917;6942;6960;6962;6966;6967
"500540 MARACAJU";43710;44391;45077;45709;46306;46922
"500560 MIRANDA";26664;26682;26693;26657;26589;26539
"500568 MUNDO NOVO";18887;19111;19315;19502;19644;19789
"500570 NAVIRAI";50906;51319;51718;52017;52254;52488
"500580 NIOAQUE";14010;13934;13856;13750;13639;13516
"500600 NOVA ALVORADA DO SUL";20364;20826;21298;21747;22174;22612
"500620 NOVA ANDRADINA";49445;49747;50023;50211;50345;50482
"500625 NOVO HORIZONTE DO SUL";4886;4876;4872;4856;4838;4810
"500627 PARAISO DAS AGUAS";5276;5371;5463;5531;5605;5671
"500630 PARANAIBA";42254;42405;42526;42555;42539;42544
"500635 PARANHOS";13259;13276;13279;13284;13261;13290
"500640 PEDRO GOMES";7430;7353;7275;7190;7103;7031
"500660 PONTA PORA";90598;91854;93042;94113;95162;96330
"500690 PORTO MURTINHO";14071;13849;13647;13427;13207;13028
"500710 RIBAS DO RIO PARDO";23042;23230;23396;23548;23686;23828
"500720 RIO BRILHANTE";36332;36988;37628;38217;38775;39350
