cod_ibge;municipio;uf;ano;populacao;fonte
5000203;Água Clara;MS;2018;15257;IBGE FTP - estimativa_dou - Estimativas populacionais por municipio
5000252;Alcinópolis;MS;2018;5268;IBGE FTP - estimativa_dou - Estimativas populacionais por municipio
5000609;Amambai;MS;2018;38958;IBGE FTP - estimativa_dou - Estimativas populacionais por municipio
5000708;Anastácio;MS;2018;25128;IBGE FTP - estimativa_dou - Estimativas populacionais por municipio
5000807;Anaurilândia;MS;2018;8993;IBGE FTP - estimativa_dou - Estimativas populacionais por municipio
5000856;Angélica;MS;2018;10620;IBGE FTP - estimativa_dou - Estimativas populacionais por municipio
5000906;Antônio João;MS;2018;8891;IBGE FTP - estimativa_dou - Estimativas populacionais por municipio
5001003;Aparecida do Taboado;MS;2018;25431;IBGE FTP - estimativa_dou - Estimativas populacionais por municipio
5001102;Aquidauana;MS;2018;47784;IBGE FTP - estimativa_dou - Estimativas populacionais por municipio
5001243;Aral Moreira;MS;2018;11963;IBGE FTP - estimativa_dou - Estimativas populacionais por municipio
5001508;Bandeirantes;MS;2018;6829;IBGE FTP - estimativa_dou - Estimativas populacionais por municipio
5001904;Bataguassu;MS;2018;22717;IBGE FTP - estimativa_dou - Estimativas populacionais por municipio
5002001;Batayporã;MS;2018;11305;IBGE FTP - estimativa_dou - Estimativas populacionais por municipio
5002100;Bela Vista;MS;2018;24508;IBGE FTP - estimativa_dou - Estimativas populacionais por municipio
5002159;Bodoquena;MS;2018;7817;IBGE FTP - estimativa_dou - Estimativas populacionais por municipio
5002209;Bonito;MS;2018;21738;IBGE FTP - estimativa_dou - Estimativas populacionais por municipio
5002308;Brasilândia;MS;2018;11891;IBGE FTP - estimativa_dou - Estimativas populacionais por municipio
5002407;Caarapó;MS;2018;29743;IBGE FTP - estimativa_dou - Estimativas populacionais por municipio
5002605;Camapuã;MS;2018;13727;IBGE FTP - estimativa_dou - Estimativas populacionais por municipio
5002704;Campo Grande;MS;2018;885711;IBGE FTP - estimativa_dou - Estimativas populacionais por municipio
5002803;Caracol;MS;2018;6049;IBGE FTP - estimativa_dou - Estimativas populacionais por municipio
5002902;Cassilândia;MS;2018;21876;IBGE FTP - estimativa_dou - Estimativas populacionais por municipio
5002951;Chapadão do Sul;MS;2018;24559;IBGE FTP - estimativa_dou - Estimativas populacionais por municipio
5003108;Corguinho;MS;2018;5839;IBGE FTP - estimativa_dou - Estimativas populacionais por municipio
5003157;Coronel Sapucaia;MS;2018;15152;IBGE FTP - estimativa_dou - Estimativas populacionais por municipio
